id,day,userUUID,exercises,title,public,description
"2gHPWi3Ysv02qSCl7IuY","Lunes","dcU88zySTheCcEi6eKnxUrUvCyq2","Exercises","titulo",false,"Para hacer cositas"
"9bsS1kRdMblKy2KNN79H","Jueves","jgu0PPpKEFYCwnNr0fYBQge0qRv2","Exercises","Nueva Rutina Chulisima",true,"Para hacer cositas"
"CHDz0mp6q3vYgMbBCXTj","Miércoles","9t7gvpNGS1SbJcahNfWthD9rol02","Exercises","rutina 1","",""
"jgu0PPpKEFYCwnNr0fYBQge0qRv2","Jueves","Si9DWDMtw1Vj7xj1gWAYbJU9f7T2","Exercises","Publico",false,"Publico"
"QW8rf1TvyTUzHNYFLDJq","Miércoles","dcU88zySTheCcEi6eKnxUrUvCyq2","Exercises","prueba","",""
"RCaCYkcIBT2o7x3kyanx","Lunes","jgu0PPpKEFYCwnNr0fYBQge0qRv2","Exercises","Rutina de Paco",true,"Paco el guapo sexy y cabron"
"SnCJm8GZweLNBw3EA2pB","Jueves","dcU88zySTheCcEi6eKnxUrUvCyq2","Exercises","hajskdkslskdn",false,"Para hacer cositas"
"XeQvVmGDE1vzdJizwNn8","Viernes","jgu0PPpKEFYCwnNr0fYBQge0qRv2","Exercises","Pa ponerse fit",false,"Una rutina para ponerse fuertote "
"zTvj3tXq5UkzwB7tSJYM","Viernes","jgu0PPpKEFYCwnNr0fYBQge0qRv2","Exercises","Publico",false,"Publico"
"ltDZ5XnR7SRcZwXmUPtk","Lunes","dcU88zySTheCcEi6eKnxUrUvCyq2","Exercises","prueba","",""
"nJyvMiTJMvGX6yOs2cyW","Miercoles","jgu0PPpKEFYCwnNr0fYBQge0qRv2","Exercises","Miercoles",true,"Miercoles"
"okwTtnsMq90Y6DqUo9NU","Domingo","dcU88zySTheCcEi6eKnxUrUvCyq2","Exercises","domingo",false,"Para hacer cositas"
"zTvj3tXq5UkzwB7tSJYM","Jueves","Si9DWDMtw1Vj7xj1gWAYbJU9f7T2","Exercises","Publico",true,"Publico"
